Accident_Index,Location_Easting_OSGR ,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2.00912E+12,460250.0,452510.0,-1.083101,53.965167,12,Severe,2,1,06/04/2009,2,30:00.0,189,E06000014,4,1363,6,30,6,2,6,0,0,5,1,1,1,0,0,1,2,E01013366
2.00912E+12,462820.0,456280.0,-1.043156,53.998741,12,Medium,1,1,07/04/2009,3,58:00.0,189,E06000014,3,1237,6,60,1,4,6,0,0,0,4,1,1,0,0,2,1,E01013409
2.00912E+12,457500.0,451600.0,-1.125185,53.957302,12,Severe,2,1,08/04/2009,4,23:00.0,189,E06000014,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013336
2.00912E+12,464390.0,453710.0,-1.019752,53.975453,12,Severe,1,1,11/04/2009,7,30:00.0,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013419
2.00912E+12,463920.0,449310.0,-1.027837,53.93597,12,Severe,1,1,11/04/2009,7,08:00.0,189,E06000014,3,64,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013378
2.00912E+12,457100.0,451400.0,-1.131317,53.955549,12,Medium,2,2,13/04/2009,2,25:00.0,189,E06000014,4,1224,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013336
2.00912E+12,457600.0,454920.0,-1.123035,53.987127,12,Medium,2,1,14/04/2009,3,25:00.0,189,E06000014,3,1237,6,60,1,4,3,19,0,0,1,1,1,0,0,2,1,E01013432
2.00912E+12,455030.0,451370.0,-1.162865,53.955503,12,Severe,2,1,18/04/2009,7,45:00.0,189,E06000014,4,1224,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013421
2.00912E+12,461000.0,456580.0,-1.070857,54.001655,12,Severe,2,1,20/04/2009,2,17:00.0,189,E06000014,3,1237,6,60,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01013407
2.00912E+12,465130.0,451620.0,-1.008917,53.956579,12,Severe,2,1,26/04/2009,1,30:00.0,189,E06000014,3,1079,6,40,1,2,4,1228,0,0,1,1,1,0,0,2,1,E01013351
2.00912E+12,460930.0,455380.0,-1.072164,53.990879,12,Severe,2,1,29/04/2009,4,20:00.0,189,E06000014,6,0,6,20,2,4,6,0,0,0,1,1,1,0,0,1,1,E01013410
2.00912E+12,458690.0,452430.0,-1.106892,53.964627,12,Severe,3,2,01/05/2009,6,05:00.0,189,E06000014,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01013390
2.00912E+12,458540.0,452510.0,-1.109163,53.965363,12,Severe,2,1,01/05/2009,6,19:00.0,189,E06000014,6,0,6,30,3,2,6,0,0,5,4,1,1,0,0,1,2,E01013392
2.00912E+12,455930.0,452400.0,-1.148962,53.964663,12,Severe,2,1,02/05/2009,7,50:00.0,189,E06000014,3,1237,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013422
2.00912E+12,465000.0,452670.0,-1.010674,53.966031,12,Severe,2,1,02/05/2009,7,20:00.0,189,E06000014,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013419
2.00912E+12,459600.0,452710.0,-1.092968,53.96704,12,Severe,2,1,05/05/2009,3,21:00.0,189,E06000014,3,19,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01013344
2.00912E+12,459980.0,445980.0,-1.088496,53.906515,12,Severe,2,2,05/05/2009,3,20:00.0,189,E06000014,4,1222,6,60,3,4,6,0,0,0,1,1,1,0,0,2,1,E01013450
2.00912E+12,459750.0,451420.0,-1.090934,53.95543,12,Severe,1,1,05/05/2009,3,35:00.0,189,E06000014,3,1036,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01013415
2.00912E+12,457470.0,451410.0,-1.125678,53.955598,12,Severe,2,1,08/05/2009,6,28:00.0,189,E06000014,4,1224,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01013336
